sep=|
30|-0,000000|26815622148153986833789220442566678226169830207181701339543648296948702068450138240550307469272432260821483764883947932648778255004620830832709599416549376,000000
31|-0,000000|26815622148153986833789220442566678226169830207181701339543648296948702068450138240550307469272432260821483764883947932648778255004620830832709599416549376,000000
32|-0,000000|0,000000
33|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
34|0,000000|0,000000
35|0,000000|0,000000
36|0,000000|0,000000
37|-0,000000|26815622148153986833789220442566678226169830207181701339543648296948702068450138240550307469272432260821483764883947932648778255004620830832709599416549376,000000
38|0,000000|0,000000
39|0,000000|0,000000
40|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
41|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
42|0,000000|0,000000
43|0,000000|0,000000
44|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
45|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
46|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
47|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
48|-0,000000|0,000000
49|-0,000000|-0,000000
50|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
51|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
52|0,000000|0,000000
53|-0,000000|0,000000
54|0,000000|0,000000
55|0,000000|0,000000
56|-0,000000|0,000000
57|-0,000000|0,000000
58|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
59|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
60|-0,000000|0,000000
61|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
62|-0,000000|0,000000
63|-0,000000|0,000000
64|0,000000|2,000000
65|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
66|0,000000|0,000000
67|0,000000|0,000000
68|-0,000000|0,000000
69|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
70|-0,000000|0,000000
71|-0,000000|0,000000
72|-0,000000|-0,000000
73|-0,000000|-0,000000
74|-0,000000|2,000000
75|-0,000000|2,000000
76|-0,000000|-0,000000
77|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
78|-0,000000|-0,000000
79|-0,000000|-0,000000
80|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
81|-0,000000|-0,000000
82|0,000000|0,000000
83|0,000000|0,000000
84|0,000000|26815622172796560967231106109326281889614557098296129309574484142278644382620569367404231391081026261842111102318317533944292917568914485955909799026622464,000000
85|0,000000|26815622172796560967231106109326281889614557098296129309574484142278644382620569367404231391081026261842111102318317533944292917568914485955909799026622464,000000
86|0,000000|26815622172796560967231106109326281889614557098296129309574484142278644382620569367404231391081026261842111102318317533944292917568914485955909799026622464,000000
87|0,000000|26815622172796560967231106109326281889614557098296129309574484142278644382620569367404231391081026261842111102318317533944292917568914485955909799026622464,000000
88|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
89|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-2,000000
90|0,000000|-0,000000
91|0,000000|-0,000000
92|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
93|-0,000000|-0,000000
94|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
95|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
96|0,000000|2,000000
97|-0,000000|-0,000000
98|0,000000|2,000000
99|0,000000|2,000000
100|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
101|-0,000000|-0,000000
102|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
103|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
